PlayerName,Team,TOI,G,A,FirstA,Points,Shots,iFenwick,iCorsi,ShPct,G60,A60,FirstA60,Points60,Shots60,iFenwick60,iCorsi60,IGP,IAP,IPP,Year,Position,Situation
"BELL, MARK",Toronto,310:00:00,4,6,2,10,35,49,59,11.43,0.774,1.161,0.387,1.94,6.77,9.484,11.419,26.7,40,66.7,2007,Forward,5v5
"SMYTH, RYAN",Colorado,784:03:00,11,14,12,25,117,155,180,9.4,0.842,1.071,0.918,1.91,8.95,11.861,13.775,29.7,37.8,67.6,2007,Forward,5v5
"BLAKE, JASON",Toronto,1098:24:00,13,22,17,35,235,303,384,5.53,0.71,1.202,0.929,1.91,12.84,16.551,20.976,25.5,43.1,68.6,2007,Forward,5v5
"HORTON, NATHAN",Florida,1171:15:00,15,22,13,37,156,214,277,9.62,0.768,1.127,0.666,1.9,7.99,10.963,14.19,25.4,37.3,62.7,2007,Forward,5v5
"KOVALEV, ALEX",Montreal,1046:33:00,16,17,11,33,131,172,234,12.21,0.917,0.975,0.631,1.89,7.51,9.861,13.415,31.4,33.3,64.7,2007,Forward,5v5
"ST._LOUIS, MARTIN",Tampa Bay,1402:19:00,11,33,20,44,153,216,267,7.19,0.471,1.412,0.856,1.88,6.55,9.242,11.424,16.7,50,66.7,2007,Forward,5v5
"PERRON, DAVID",St. Louis,638:30:00,9,11,8,20,50,72,89,18,0.846,1.034,0.752,1.88,4.7,6.766,8.363,26.5,32.4,58.8,2007,Forward,5v5
"SKILLE, JACK",Chicago,160:15:00,3,2,1,5,19,28,32,15.79,1.123,0.749,0.374,1.87,7.11,10.484,11.981,50,33.3,83.3,2007,Forward,5v5
"HUDLER, JIRI",Detroit,838:36:00,9,17,11,26,95,129,147,9.47,0.644,1.216,0.787,1.86,6.8,9.23,10.518,25.7,48.6,74.3,2007,Forward,5v5
"BRIERE, DANIEL",Philadelphia,1001:34:00,15,16,11,31,102,124,164,14.71,0.899,0.959,0.659,1.86,6.11,7.428,9.825,44.1,47.1,91.2,2007,Forward,5v5
"ROBITAILLE, RANDY",Ottawa,776:17:00,9,15,8,24,74,102,123,12.16,0.696,1.159,0.618,1.85,5.72,7.884,9.507,24.3,40.5,64.9,2007,Forward,5v5
"JAGR, JAROMIR",NY Rangers,1231:22:00,17,21,13,38,180,248,314,9.44,0.828,1.023,0.633,1.85,8.77,12.084,15.3,31.5,38.9,70.4,2007,Forward,5v5
"UMBERGER, RJ",Philadelphia,909:01:00,9,19,9,28,128,162,218,7.03,0.594,1.254,0.594,1.85,8.45,10.693,14.389,24.3,51.3,75.7,2007,Forward,5v5
"SAMSONOV, SERGEI",Carolina,716:02:00,9,13,8,22,82,109,142,10.98,0.754,1.089,0.67,1.84,6.87,9.134,11.899,30,43.3,73.3,2007,Forward,5v5
"PANDOLFO, JAY",New Jersey,683:34:00,9,12,4,21,59,77,101,15.25,0.79,1.053,0.351,1.84,5.18,6.759,8.865,36,48,84,2007,Forward,5v5
"MACARTHUR, CLARKE",Buffalo,456:49:00,7,7,5,14,48,62,77,14.58,0.919,0.919,0.657,1.84,6.3,8.143,10.114,31.8,31.8,63.6,2007,Forward,5v5
"GOMEZ, SCOTT",NY Rangers,1111:13:00,9,25,12,34,161,205,245,5.59,0.486,1.35,0.648,1.84,8.69,11.069,13.229,20.5,56.8,77.3,2007,Forward,5v5
"ARMSTRONG, DEREK",Los Angeles,850:06:00,7,19,11,26,91,122,146,7.69,0.494,1.341,0.776,1.84,6.42,8.611,10.305,17.1,46.3,63.4,2007,Forward,5v5
"MALONE, RYAN",Pittsburgh,948:27:00,14,15,6,29,112,147,180,12.5,0.886,0.949,0.38,1.83,7.09,9.299,11.387,26.4,28.3,54.7,2007,Forward,5v5
"MODIN, FREDRIK",Columbus,262:00:00,3,5,2,8,27,43,58,11.11,0.687,1.145,0.458,1.83,6.18,9.847,13.282,30,50,80,2007,Forward,5v5
"SELANNE, TEEMU",Anaheim,327:38:00,4,6,4,10,45,61,72,8.89,0.733,1.099,0.733,1.83,8.24,11.171,13.185,28.6,42.9,71.4,2007,Forward,5v5
"REINPRECHT, STEVEN",Phoenix,951:28:00,10,19,12,29,71,99,134,14.08,0.631,1.198,0.757,1.83,4.48,6.243,8.45,26.3,50,76.3,2007,Forward,5v5
"O_SULLIVAN, PATRICK",Los Angeles,1051:34:00,13,19,10,32,153,228,278,8.5,0.742,1.084,0.571,1.83,8.73,13.009,15.862,28.9,42.2,71.1,2007,Forward,5v5
